epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,2998.47,0.93351,0.3706,1.02594,0.99992,1,0.995,0.77644,0.91705,0.29526,0.98882,0.005644,0.005644,0.005644
46,3063.34,0.93542,0.36996,1.02874,0.99984,1,0.995,0.7815,0.90043,0.29188,0.97688,0.005545,0.005545,0.005545
47,3128.28,0.94209,0.3707,1.03668,0.99975,1,0.995,0.78088,0.89803,0.29012,0.99214,0.005446,0.005446,0.005446
48,3193.54,0.93244,0.36705,1.02359,1,1,0.995,0.77893,0.90125,0.28894,0.97854,0.005347,0.005347,0.005347
49,3258.57,0.92844,0.36412,1.03207,1,0.99997,0.995,0.78063,0.90267,0.28929,0.99727,0.005248,0.005248,0.005248
50,3323.51,0.9281,0.3628,1.0261,0.99994,1,0.995,0.78163,0.90211,0.28572,0.98159,0.005149,0.005149,0.005149
51,3388.29,0.92838,0.36407,1.03212,0.99995,1,0.995,0.78103,0.9019,0.28448,0.98366,0.00505,0.00505,0.00505
52,3453.39,0.92604,0.35985,1.02853,0.99992,1,0.995,0.78364,0.90144,0.2834,0.98609,0.004951,0.004951,0.004951
53,3518.91,0.92251,0.35616,1.02918,0.99992,1,0.995,0.7803,0.89573,0.28111,0.98261,0.004852,0.004852,0.004852
54,3583.98,0.92159,0.35702,1.02685,0.99991,1,0.995,0.78035,0.90128,0.28033,0.98245,0.004753,0.004753,0.004753
55,3648.95,0.925,0.35821,1.02856,0.99993,1,0.995,0.78286,0.90179,0.28348,0.99645,0.004654,0.004654,0.004654
56,3713.96,0.92361,0.35509,1.03216,0.99992,1,0.995,0.78211,0.89408,0.27647,0.98873,0.004555,0.004555,0.004555
57,3779.04,0.91729,0.35376,1.02668,0.99992,1,0.995,0.78334,0.89764,0.27873,0.98198,0.004456,0.004456,0.004456
58,3844.22,0.91553,0.3536,1.01704,0.99993,1,0.995,0.7865,0.89991,0.27811,0.98159,0.004357,0.004357,0.004357
59,3909.64,0.91603,0.35067,1.02005,0.99992,1,0.995,0.78333,0.89697,0.27607,0.98274,0.004258,0.004258,0.004258
60,3974.91,0.91736,0.34995,1.01855,1,0.99961,0.995,0.78328,0.89456,0.27511,0.98267,0.004159,0.004159,0.004159
61,4040.23,0.91618,0.35114,1.02249,0.99984,1,0.995,0.78357,0.89397,0.27473,0.98381,0.00406,0.00406,0.00406
62,4105.42,0.92006,0.34801,1.02798,0.99994,1,0.995,0.78022,0.89807,0.27603,0.98977,0.003961,0.003961,0.003961
63,4170.72,0.9141,0.34637,1.02535,0.99993,1,0.995,0.78393,0.89322,0.27338,0.98883,0.003862,0.003862,0.003862
64,4235.79,0.91509,0.34833,1.01383,0.99993,1,0.995,0.78464,0.89171,0.27128,0.97442,0.003763,0.003763,0.003763
65,4300.88,0.91401,0.34674,1.01533,0.99993,1,0.995,0.78581,0.89709,0.27297,0.97733,0.003664,0.003664,0.003664
66,4365.85,0.90975,0.34478,1.0117,0.99993,1,0.995,0.78191,0.89511,0.27322,0.97437,0.003565,0.003565,0.003565
67,4430.77,0.9083,0.34112,1.02482,0.99995,1,0.995,0.78484,0.89218,0.27025,0.98543,0.003466,0.003466,0.003466
68,4496,0.90476,0.33857,1.01714,0.99993,1,0.995,0.78243,0.89024,0.27132,0.98461,0.003367,0.003367,0.003367
69,4561.24,0.90454,0.33834,1.01287,0.99991,1,0.995,0.7809,0.89194,0.27005,0.98057,0.003268,0.003268,0.003268
70,4626.22,0.90183,0.338,1.014,0.99993,1,0.995,0.78256,0.88669,0.26771,0.9796,0.003169,0.003169,0.003169
71,4691.1,0.89406,0.3335,1.01052,0.99993,1,0.995,0.78479,0.88788,0.26652,0.9775,0.00307,0.00307,0.00307
72,4756.04,0.89842,0.33607,1.01038,0.99992,1,0.995,0.78551,0.88858,0.26591,0.97522,0.002971,0.002971,0.002971
73,4820.85,0.89399,0.33208,1.00919,0.99994,1,0.995,0.7842,0.89019,0.26567,0.97443,0.002872,0.002872,0.002872
